,home_team,away_team,neutral,home_team_ranking,away_team_ranking,home_winning_count,home_drawing_count,away_winning_count,away_drawing_count,home_win_away,away_win_home,home_draw_away,home_mean_goal_diff,away_mean_goal_diff,predicted_outcome,predicted_winner,home_winning_proba,away_winning_proba,draw_proba
0,Russia,Saudi Arabia,0,62.0,65.0,0.5119402989999999,0.264179104,0.478849408,0.223350254,0,1,0,0.7477611940000001,0.5143824029999999,1,Russia,0.5151201482732375,0.22658126328423117,0.2582985884425312
1,Egypt,Uruguay,1,30.0,22.0,0.48776509,0.24959217,0.43255814,0.244186047,0,1,0,0.5986949429999999,0.31744186,1,Egypt,0.42710843858132924,0.3116735596492538,0.26121800176941734
2,Morocco,Iran,1,39.0,200.0,0.461386139,0.29702970300000003,0.543933054,0.257322176,0,0,2,0.554455446,1.025104603,1,Morocco,0.45527261797690405,0.2633956196923269,0.2813317623307685
3,Portugal,Spain,1,3.0,6.0,0.480607083,0.23102866800000002,0.582089552,0.22835820899999998,8,15,13,0.502529511,1.082089552,0,Spain,0.29526971588399453,0.3724866199607921,0.3322436641552139
4,France,Australia,1,9.0,36.0,0.489544895,0.21402214,0.496,0.218,2,1,1,0.441574416,0.9,1,France,0.40239543684335954,0.33975209592803984,0.2578524672286009
5,Argentina,Iceland,1,4.0,20.0,0.5372507870000001,0.248688353,0.312941176,0.185882353,0,0,0,0.820566632,-0.45647058799999995,1,Argentina,0.5767406084245585,0.20600880120942017,0.21725059036602185
6,Peru,Denmark,1,11.0,12.0,0.324414716,0.24749163899999999,0.448320413,0.20801033600000002,0,0,0,-0.18060200699999998,0.38630491,0,Denmark,0.35016215409894846,0.39466930377309334,0.2551685421279586
7,Croatia,Nigeria,1,15.0,51.0,0.53559322,0.26779661,0.462385321,0.291743119,0,0,0,0.786440678,0.513761468,1,Croatia,0.44910896128704136,0.27230188455375315,0.2785891541592058
8,Costa Rica,Serbia,1,27.0,37.0,0.432758621,0.25517241399999996,0.44705882399999997,0.250980392,0,0,0,0.489655172,0.490196078,1,Costa Rica,0.40034197497730084,0.3307058206488638,0.2689522043738357
9,Germany,Mexico,1,1.0,17.0,0.586021505,0.205376344,0.501792115,0.23894862600000003,5,1,5,1.0870967740000002,0.6798088409999999,1,Germany,0.4287661518170368,0.2886817424879726,0.2825521056949909
10,Brazil,Switzerland,1,2.0,8.0,0.637605042,0.20063025199999998,0.34877734899999996,0.21621621600000002,3,2,3,1.273109244,-0.248391248,1,Brazil,0.5635918185016334,0.19859231599407184,0.2378158655042953
11,Sweden,Korea Republic,1,18.0,59.0,0.490433031,0.22054380699999998,0.5251798560000001,0.256594724,1,0,2,0.697885196,0.851318945,1,Sweden,0.379605874256713,0.33727476363729086,0.2831193621059963
12,Belgium,Panama,1,5.0,53.0,0.42013422799999994,0.21879194600000001,0.315270936,0.25369458100000003,0,0,0,0.144966443,-0.379310345,1,Belgium,0.49079712129128183,0.27621257692856366,0.23299030178015484
13,Tunisia,England,1,23.0,16.0,0.419529837,0.289330922,0.567041965,0.243602866,0,1,1,0.379746835,1.2016376659999999,0,England,0.3121190822923055,0.38827314788954076,0.2996077698181542
14,Colombia,Japan,1,13.0,56.0,0.38068181799999995,0.276515152,0.475792988,0.23038397300000002,2,0,1,0.022727273,0.594323873,1,Colombia,0.39003835929753183,0.3436684407432894,0.266293199959179
15,Poland,Senegal,1,7.0,24.0,0.429292929,0.252525253,0.43083004,0.274703557,0,0,0,0.333333333,0.324110672,1,Poland,0.40298031271945634,0.3257590389930726,0.27126064828747143
16,Russia,Egypt,0,62.0,30.0,0.5119402989999999,0.264179104,0.48776509,0.24959217,0,0,0,0.7477611940000001,0.5986949429999999,1,Russia,0.47415734312511815,0.2519100829842069,0.27393257389067494
17,Portugal,Morocco,1,3.0,39.0,0.480607083,0.23102866800000002,0.461386139,0.29702970300000003,0,1,0,0.502529511,0.554455446,1,Portugal,0.403815820343799,0.3191654021079359,0.27701877754826537
18,Uruguay,Saudi Arabia,1,22.0,65.0,0.43255814,0.244186047,0.478849408,0.223350254,0,1,1,0.31744186,0.5143824029999999,1,Uruguay,0.40434349232996486,0.33458485619699346,0.2610716514730418
19,Iran,Spain,1,200.0,6.0,0.543933054,0.257322176,0.582089552,0.22835820899999998,0,0,0,1.025104603,1.082089552,0,Spain,0.2367638949477031,0.4641585739421862,0.29907753111011115
20,Denmark,Australia,1,12.0,36.0,0.448320413,0.20801033600000002,0.496,0.218,2,1,0,0.38630491,0.9,1,Denmark,0.38226387171979226,0.362850693741041,0.2548854345391669
21,France,Peru,1,9.0,11.0,0.489544895,0.21402214,0.324414716,0.24749163899999999,0,1,0,0.441574416,-0.18060200699999998,1,France,0.4890744838182244,0.27398500056159186,0.23694051562018426
22,Argentina,Croatia,1,4.0,15.0,0.5372507870000001,0.248688353,0.53559322,0.26779661,2,1,1,0.820566632,0.786440678,1,Argentina,0.3909245745578781,0.3223273562739182,0.28674806916820417
23,Brazil,Costa Rica,1,2.0,27.0,0.637605042,0.20063025199999998,0.432758621,0.25517241399999996,9,1,0,1.273109244,0.489655172,1,Brazil,0.5259997073304757,0.23253521910574737,0.2414650735637771
24,Nigeria,Iceland,1,51.0,20.0,0.462385321,0.291743119,0.312941176,0.185882353,0,1,0,0.513761468,-0.45647058799999995,1,Nigeria,0.5187248503772485,0.2532215391580404,0.22805361046471168
25,Serbia,Switzerland,1,37.0,8.0,0.44705882399999997,0.250980392,0.34877734899999996,0.21621621600000002,1,0,3,0.490196078,-0.248391248,1,Serbia,0.4513332105341411,0.2928160418397745,0.25585074762608495
26,Belgium,Tunisia,1,5.0,23.0,0.42013422799999994,0.21879194600000001,0.419529837,0.289330922,1,1,1,0.144966443,0.379746835,1,Belgium,0.38150306656852806,0.3460881746181979,0.2724087588132744
27,Korea Republic,Mexico,1,59.0,17.0,0.5251798560000001,0.256594724,0.501792115,0.23894862600000003,3,6,2,0.851318945,0.6798088409999999,1,Korea Republic,0.3813183765166335,0.3382840356277115,0.2803975878556555
28,Germany,Sweden,1,1.0,18.0,0.586021505,0.205376344,0.490433031,0.22054380699999998,15,12,9,1.0870967740000002,0.697885196,1,Germany,0.44872048886993404,0.2725383848210374,0.2787411263090288
29,England,Panama,1,16.0,53.0,0.567041965,0.243602866,0.315270936,0.25369458100000003,0,0,0,1.2016376659999999,-0.379310345,1,England,0.5773345468716318,0.18336869849060322,0.23929675463776534
30,Japan,Senegal,1,56.0,24.0,0.475792988,0.23038397300000002,0.43083004,0.274703557,0,2,1,0.594323873,0.324110672,1,Japan,0.3806880578079165,0.3430254832065023,0.27628645898558174
31,Poland,Colombia,1,7.0,13.0,0.429292929,0.252525253,0.38068181799999995,0.276515152,2,3,0,0.333333333,0.022727273,1,Poland,0.432932246222695,0.3065741288683638,0.2604936249089417
32,Uruguay,Russia,0,22.0,62.0,0.43255814,0.244186047,0.5119402989999999,0.264179104,1,6,1,0.31744186,0.7477611940000001,1,Uruguay,0.44892149484278243,0.27505750483564884,0.27602100032156857
33,Saudi Arabia,Egypt,1,65.0,30.0,0.478849408,0.223350254,0.48776509,0.24959217,1,3,2,0.5143824029999999,0.5986949429999999,0,Egypt,0.3469745661168087,0.3742042773799991,0.2788211565031925
34,Iran,Portugal,1,200.0,3.0,0.543933054,0.257322176,0.480607083,0.23102866800000002,0,2,0,1.025104603,0.502529511,0,Portugal,0.3013233652642727,0.41712264555112105,0.28155398918460683
35,Spain,Morocco,1,6.0,39.0,0.582089552,0.22835820899999998,0.461386139,0.29702970300000003,2,0,0,1.082089552,0.554455446,1,Spain,0.46167156828679645,0.2644212720720686,0.2739071596411352
36,Denmark,France,1,12.0,9.0,0.448320413,0.20801033600000002,0.489544895,0.21402214,4,8,1,0.38630491,0.441574416,1,Denmark,0.3766599869705429,0.37062779163813586,0.2527122213913216
37,Australia,Peru,1,36.0,11.0,0.496,0.218,0.324414716,0.24749163899999999,0,0,0,0.9,-0.18060200699999998,1,Australia,0.4815827193802883,0.27248696945621736,0.24593031116349484
38,Nigeria,Argentina,1,51.0,4.0,0.462385321,0.291743119,0.5372507870000001,0.248688353,2,5,1,0.513761468,0.820566632,0,Argentina,0.3319372864495807,0.3758775981210048,0.29218511542941517
39,Iceland,Croatia,1,20.0,15.0,0.312941176,0.185882353,0.53559322,0.26779661,1,4,1,-0.45647058799999995,0.786440678,0,Croatia,0.22898918110830374,0.48940526513733174,0.2816055537543648
40,Mexico,Sweden,1,17.0,18.0,0.501792115,0.23894862600000003,0.490433031,0.22054380699999998,2,4,3,0.6798088409999999,0.697885196,1,Mexico,0.40007427135396567,0.32545130576907433,0.27447442287696044
41,Korea Republic,Germany,1,59.0,1.0,0.5251798560000001,0.256594724,0.586021505,0.205376344,1,2,0,0.851318945,1.0870967740000002,0,Germany,0.3336434599394532,0.3869634243777345,0.27939311568281266
42,Serbia,Brazil,1,37.0,2.0,0.44705882399999997,0.250980392,0.637605042,0.20063025199999998,0,3,1,0.490196078,1.273109244,0,Brazil,0.26893271810838726,0.43935068219028656,0.29171659970132663
43,Switzerland,Costa Rica,1,8.0,27.0,0.34877734899999996,0.21621621600000002,0.432758621,0.25517241399999996,1,1,0,-0.248391248,0.489655172,0,Costa Rica,0.35077338054945395,0.3907955549031217,0.25843106454742465
44,Japan,Poland,1,56.0,7.0,0.475792988,0.23038397300000002,0.429292929,0.252525253,2,4,0,0.594323873,0.333333333,1,Japan,0.3879585108646805,0.34965056686163337,0.26239092227368666
45,Senegal,Colombia,1,24.0,13.0,0.43083004,0.274703557,0.38068181799999995,0.276515152,0,1,1,0.324110672,0.022727273,1,Senegal,0.4206819353220161,0.3062810693662045,0.27303699531178
46,Panama,Tunisia,1,53.0,23.0,0.315270936,0.25369458100000003,0.419529837,0.289330922,0,0,0,-0.379310345,0.379746835,0,Tunisia,0.3043221277949237,0.4171854980664756,0.2784923741386012
47,England,Belgium,1,16.0,5.0,0.567041965,0.243602866,0.42013422799999994,0.21879194600000001,16,1,5,1.2016376659999999,0.144966443,1,England,0.5058939684776799,0.23742403983797658,0.25668199168434386
48,Uruguay,Portugal,1,22.0,3.0,0.43255814,0.244186047,0.480607083,0.23102866800000002,0,1,1,0.31744186,0.502529511,0,Portugal,0.3586547672005026,0.36920300995797734,0.2721422228415206
49,Denmark,Croatia,1,12.0,15.0,0.448320413,0.20801033600000002,0.53559322,0.26779661,2,6,3,0.38630491,0.786440678,0,Croatia,0.3132408321746639,0.3941255985123596,0.2926335693129769
50,Spain,Russia,0,6.0,62.0,0.582089552,0.22835820899999998,0.5119402989999999,0.264179104,23,10,7,1.082089552,0.7477611940000001,1,Spain,0.5606240202679318,0.1683646657774725,0.2710113139545953
51,Argentina,France,1,4.0,9.0,0.5372507870000001,0.248688353,0.489544895,0.21402214,11,1,7,0.820566632,0.441574416,1,Argentina,0.43662216806154514,0.28294006178307873,0.2804377701553764
52,Brazil,Mexico,1,2.0,17.0,0.637605042,0.20063025199999998,0.501792115,0.23894862600000003,6,1,4,1.273109244,0.6798088409999999,1,Brazil,0.4596276649837942,0.2669359385742221,0.27343639644198403
53,England,Poland,1,16.0,7.0,0.567041965,0.243602866,0.429292929,0.252525253,2,2,1,1.2016376659999999,0.333333333,1,England,0.47004708488176905,0.26205953548391575,0.2678933796343157
54,Germany,Costa Rica,1,1.0,27.0,0.586021505,0.205376344,0.432758621,0.25517241399999996,1,0,0,1.0870967740000002,0.489655172,1,Germany,0.4836205659622253,0.26118443914344625,0.25519499489432873
55,Japan,Belgium,1,56.0,5.0,0.475792988,0.23038397300000002,0.42013422799999994,0.21879194600000001,2,1,2,0.594323873,0.144966443,1,Japan,0.4007701380576053,0.338821903463591,0.2604079584788042
56,Portugal,Argentina,1,3.0,4.0,0.480607083,0.23102866800000002,0.5372507870000001,0.248688353,2,5,1,0.502529511,0.820566632,0,Argentina,0.35269639930686725,0.36818233862471467,0.2791212620684187
57,Brazil,England,1,2.0,16.0,0.637605042,0.20063025199999998,0.567041965,0.243602866,11,4,11,1.273109244,1.2016376659999999,1,Brazil,0.39285319275774033,0.2898438112648082,0.31730299597745176
58,Spain,Croatia,1,6.0,15.0,0.582089552,0.22835820899999998,0.53559322,0.26779661,3,2,1,1.082089552,0.786440678,1,Spain,0.40922859097267594,0.3083743889297614,0.28239702009756307
59,Germany,Japan,1,1.0,56.0,0.586021505,0.205376344,0.475792988,0.23038397300000002,1,0,1,1.0870967740000002,0.594323873,1,Germany,0.48276333344150535,0.26234470500479756,0.2548919615536972
60,Argentina,Brazil,1,4.0,2.0,0.5372507870000001,0.248688353,0.637605042,0.20063025199999998,37,41,24,0.820566632,1.273109244,2,DRAW,0.32431326003729666,0.33156711392780436,0.3441196260348992
61,Spain,Germany,1,6.0,1.0,0.582089552,0.22835820899999998,0.586021505,0.205376344,7,9,7,1.082089552,1.0870967740000002,1,Spain,0.3757194823806253,0.32754274686253676,0.29673777075683844
62,Brazil,Spain,1,2.0,6.0,0.637605042,0.20063025199999998,0.582089552,0.22835820899999998,5,2,2,1.273109244,1.082089552,1,Brazil,0.4100319123294098,0.31427707166213686,0.27569101600845364
63,Argentina,Germany,1,4.0,1.0,0.5372507870000001,0.248688353,0.586021505,0.205376344,10,7,5,0.820566632,1.0870967740000002,1,Argentina,0.3748555563675876,0.3398064172769076,0.2853380263555052
